Timestamp,Education_Level,Age_Group,Gender,Occupation,Income_Group,City_Category,Cinema_Visit,OTT_User,OTT_Subscription,OTT_Hours,Home_Movie_Preference,Cinema_Experience,OTT_Convenience,Premium_OTT_WTP,Ticket_Price_Barrier,Blockbuster_Choice,OTT_Price_Response,Release_Gap,Decision_Factor,OTT_Hours_Numeric,Choice_Simple,Response_Date,Response_Hour,OTT_Engagement_Score,Cinema_Experience_Score,Price_Sensitivity_Score
2025-11-08 11:28:34-05:30,Graduate,15–24,Female,Student,Not Specified,Metro,Yes,Yes,No,8–14 hours,4.0,4.0,4.0,4.0,4.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,No gap (same day release),,11.0,Cinema,2025-11-08,11,11.0,4.0,4.0
2025-11-08 11:39:57-05:30,Postgraduate or above,15–24,Female,Student,Not Specified,Small town / rural,Yes,Yes,No,1–3 hours,3.0,5.0,3.0,4.0,5.0,Wait and watch on OTT (₹299/month),Probably no,No gap (same day release),,2.0,OTT,2025-11-08,11,2.0,5.0,5.0
2025-11-08 12:09:11-05:30,Graduate,15–24,Female,Salaried,"25,000-49,999",Metro,Yes,Yes,Yes,1–3 hours,5.0,3.0,5.0,3.0,4.0,Wait and watch on OTT (₹299/month),Not sure,1 month,Comfort zone and time schedule ,2.0,OTT,2025-11-08,12,2.0,3.0,4.0
2025-11-08 12:10:18-05:30,Postgraduate or above,15–24,Male,Student,"<25,000",Tier 2,Yes,Yes,Yes,1–3 hours,4.0,5.0,4.0,4.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,Theatre ,2.0,Cinema,2025-11-08,12,2.0,5.0,2.0
2025-11-08 12:10:27-05:30,Graduate,15–24,Male,Student,>2 Lakh,Tier 2,Yes,Yes,No,4–7 hours,3.0,4.0,1.0,1.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,"The movie theater screens are of different strokes at different places, leading to a unique experience",5.5,Cinema,2025-11-08,12,5.5,4.0,3.0
2025-11-08 12:10:57-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Metro,Yes,Yes,Yes,1–3 hours,3.0,3.0,3.0,3.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,2 week,,2.0,Cinema,2025-11-08,12,2.0,3.0,3.0
2025-11-08 12:14:31-05:30,Graduate,15–24,Male,Student,"50,000–99,999",Small town / rural,Yes,Yes,Yes,4–7 hours,3.0,4.0,4.0,2.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,1 month,"It’s the experience, the collective one seating watch with group and big screen is always a factor ",5.5,Cinema,2025-11-08,12,5.5,4.0,5.0
2025-11-08 12:15:03-05:30,Graduate,15–24,Female,Student,"25,000-49,999",Tier 2,Yes,Yes,No,Less than 1 hour,4.0,3.0,4.0,4.0,4.0,Wait and watch on OTT (₹299/month),Not sure,No gap (same day release),My comfort ,,OTT,2025-11-08,12,,3.0,4.0
2025-11-08 12:16:55-05:30,Graduate,15–24,Male,Salaried,"25,000-49,999",Metro,No,Yes,No,Less than 1 hour,5.0,3.0,5.0,1.0,5.0,Wait and watch on OTT (₹299/month),Not sure,No gap (same day release),,,OTT,2025-11-08,12,,3.0,5.0
2025-11-08 12:17:11-05:30,Postgraduate or above,15–24,Female,Student,"50,000–99,999",Small town / rural,Yes,Yes,No,1–3 hours,5.0,4.0,5.0,5.0,5.0,Wait and watch on OTT (₹299/month),Not sure,1 week,I am introvert so I prefer ott over theatre ,2.0,OTT,2025-11-08,12,2.0,4.0,5.0
2025-11-08 12:18:42-05:30,High school,15–24,Female,Student,"<25,000",Small town / rural,No,No,No,1–3 hours,1.0,1.0,1.0,1.0,1.0,Not Specified,Not sure,No gap (same day release),,2.0,Other,2025-11-08,12,2.0,1.0,1.0
2025-11-08 12:18:53-05:30,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,not specified,not specified,not specified,Not Specified,,,,,,Not Specified,Not Specified,Not Specified,,,Other,2025-11-08,12,,,
2025-11-08 12:19:10-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Small town / rural,Yes,No,No,Less than 1 hour,1.0,1.0,2.0,1.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,No gap (same day release),,,Cinema,2025-11-08,12,,1.0,3.0
2025-11-08 12:19:45-05:30,Postgraduate or above,25–34,Female,Salaried,>2 Lakh,Metro,Yes,Yes,Yes,4–7 hours,3.0,5.0,4.0,1.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,1 month,"Type of movie. A movie with visual experience or good vfx, maybe my favourite actors or good reviews. I would watch in theatres. I wait for reviews on google or social media before watching it in theatres ",5.5,Cinema,2025-11-08,12,5.5,5.0,2.0
2025-11-08 12:25:58-05:30,Graduate,15–24,Female,Student,"25,000-49,999",Small town / rural,Yes,Yes,No,1–3 hours,3.0,5.0,4.0,5.0,5.0,Wait and watch on OTT (₹299/month),Not sure,No gap (same day release),,2.0,OTT,2025-11-08,12,2.0,5.0,5.0
2025-11-08 12:27:44-05:30,Postgraduate or above,25–34,Female,Salaried,1–2 Lakh,Metro,Yes,Yes,Yes,4–7 hours,4.0,4.0,4.0,4.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,,5.5,Cinema,2025-11-08,12,5.5,4.0,3.0
2025-11-08 12:28:26-05:30,Postgraduate or above,15–24,Male,Student,"<25,000",Small town / rural,No,No,No,Less than 1 hour,4.0,3.0,3.0,3.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 week,Time period,,Cinema,2025-11-08,12,,3.0,2.0
2025-11-08 12:31:41-05:30,Postgraduate or above,15–24,Male,Self-Employed,1–2 Lakh,Tier 2,Yes,Yes,Yes,Less than 1 hour,5.0,5.0,5.0,3.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,2 week,The Experience of watching a movie in theatre is unmatched. ,,Cinema,2025-11-08,12,,5.0,3.0
2025-11-08 12:36:32-05:30,Postgraduate or above,25–34,Male,Student,"<25,000",Tier 2,Yes,Yes,No,Less than 1 hour,3.0,4.0,4.0,2.0,1.0,Wait and watch on OTT (₹299/month),Not sure,2 week,"OTT platforms provide broad kind of stories and becouse they have some larger space than movies they have more advantages to catch peoples mind with some absurd words but movies as a well as with good stories and direction can have potential to do their best with sequels. Ex- recently released ""kantara"" .",,OTT,2025-11-08,12,,4.0,1.0
2025-11-08 12:38:37-05:30,Postgraduate or above,15–24,Male,Student,Not Specified,Small town / rural,Yes,No,No,Less than 1 hour,1.0,5.0,1.0,1.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,,,Cinema,2025-11-08,12,,5.0,1.0
2025-11-08 12:40:11-05:30,Graduate,15–24,Female,Student,1–2 Lakh,Small town / rural,Yes,Yes,Yes,4–7 hours,3.0,4.0,4.0,3.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably no,1 week,Theatre provides much better experience than OTT,5.5,Cinema,2025-11-08,12,5.5,4.0,5.0
